No importa lo lento que vayas, siempre y cuando no te detengas.|Confucio
El éxito es la suma de pequeños esfuerzos repetidos día tras día.|Robert Collier
Un día a la vez.|Lema de recuperación (AA)
Nuestra mayor gloria no está en no caer nunca, sino en levantarnos cada vez que caemos.|Confucio
Cree que puedes y ya estarás a mitad de camino.|Theodore Roosevelt
La fuerza no viene de la capacidad corporal, sino de la voluntad indomable.|Mahatma Gandhi
El primer paso para llegar a alguna parte es decidir que no vas a quedarte donde estás.|J.P. Morgan
La recuperación es un proceso. Requiere tiempo. Requiere paciencia. Requiere todo lo que tienes.|Anónimo
Lo que no me mata, me hace más fuerte.|Friedrich Nietzsche
En medio de la dificultad yace la oportunidad.|Albert Einstein
La vida es 10% lo que te pasa y 90% cómo reaccionas a ello.|Charles R. Swindoll
El coraje no es la ausencia de miedo, sino el triunfo sobre él.|Nelson Mandela
Tu vida no mejora por casualidad, mejora por el cambio.|Jim Rohn
El mejor momento para plantar un árbol fue hace 20 años. El segundo mejor momento es ahora.|Proverbio Chino
"No tienes que controlar tus pensamientos; solo tienes que dejar de permitir que ellos te controlen a ti.|Dan Millman"
La adicción es solo una parte de tu historia, no el final.|Anónimo
"La perseverancia no es una carrera larga; son muchas carreras cortas, una tras otra.|Walter Elliot"
Cáete siete veces, levántate ocho.|Proverbio Japonés
El dolor es inevitable, el sufrimiento es opcional.|Haruki Murakami (atribuido a Buda)
La recuperación no es para la gente que la necesita. Es para la gente que la quiere.|Anónimo
No juzgues cada día por la cosecha que recoges, sino por las semillas que plantas.|Robert Louis Stevenson
El futuro pertenece a quienes creen en la belleza de sus sueños.|Eleanor Roosevelt
Nunca es demasiado tarde para ser lo que podrías haber sido.|George Eliot
La disciplina es el puente entre las metas y los logros.|Jim Rohn
El carácter no puede desarrollarse en la facilidad y la tranquilidad. Solo a través de la experiencia de la prueba y el sufrimiento se puede fortalecer el alma.|Helen Keller
No dejes que tu pasado determine tu futuro.|Anónimo
La gota de agua perfora la roca, no por su fuerza, sino por su constancia.|Ovidio
La recuperación es un maratón, no una carrera de velocidad.|Anónimo
Acepta la responsabilidad de tu vida. Date cuenta de que eres tú quien te llevará a donde quieres ir, nadie más.|Les Brown
El cambio más significativo en tu vida vendrá del cambio de creencias que tienes sobre ti mismo.|Anónimo
La sobriedad es un viaje, no un destino.|Anónimo
No puedes volver atrás y cambiar el principio, pero puedes empezar donde estás y cambiar el final.|C.S. Lewis
El único hombre que no se equivoca es el que nunca hace nada.|Goethe
La adversidad tiene el don de despertar talentos que en la prosperidad hubieran permanido dormidos.|Horacio
Un mar en calma nunca hizo a un marinero experto.|Franklin D. Roosevelt
Recuerda que solo porque tocaste fondo no significa que tengas que quedarte allí.|Anónimo
Nuestra mayor debilidad radica en renunciar. La forma más segura de tener éxito es siempre intentarlo una vez más.|Thomas Edison
Si estás pasando por un infierno, sigue adelante.|Winston Churchill
La voluntad de ganar, el deseo de tener éxito, el impulso de alcanzar tu pleno potencial... estas son las claves que abrirán la puerta a la excelencia personal.|Confucio
El valor no siempre ruge. A veces, el valor es la pequeña voz al final del día que dice: 'Lo intentaré de nuevo mañana'.|Mary Anne Radmacher
La recuperación es descubrir que la vida es mejor sin la sustancia que creías necesitar.|Anónimo
No soy producto de mis circunstancias. Soy producto de mis decisiones.|Stephen Covey
La esperanza es esa cosa con plumas que se posa en el alma.|Emily Dickinson
Cada día es una nueva oportunidad para cambiar tu vida.|Anónimo
El fracaso es simplemente la oportunidad de comenzar de nuevo, esta vez más inteligentemente.|Henry Ford
No tengas miedo de renunciar a lo bueno para ir por lo grandioso.|John D. Rockefeller
La mente lo es todo. En lo que piensas, te conviertes.|Buda
El secreto para salir adelante es empezar.|Mark Twain
El viaje de mil millas comienza con un solo paso.|Lao-Tsé
El obstáculo es el camino.|Marco Aurelio
La recuperación te da la oportunidad de reescribir tu historia.|Anónimo
"No mires el reloj; haz lo que él hace. Sigue moviéndote.|Sam Levenson"
La adicción no es un fracaso moral, es una enfermedad tratable.|Anónimo
El éxito no es definitivo, el fracaso no es fatal: es el coraje de continuar lo que cuenta.|Winston Churchill
La vida se encoge o se expande en proporción al coraje de uno.|Anaïs Nin
Todo parece imposible hasta que se hace.|Nelson Mandela
No cuentes los días, haz que los días cuenten.|Muhammad Ali
La felicidad no es algo hecho. Proviene de tus propias acciones.|Dalai Lama
La única persona en la que estás destinado a convertirte es la persona que decides ser.|Ralph Waldo Emerson
La honestidad es el primer capítulo del libro de la sabiduría.|Thomas Jefferson
La recuperación es ser brutalmente honesto contigo mismo.|Anónimo
No necesitas ver toda la escalera, solo da el primer paso.|Martin Luther King Jr.
Ser desafiado en la vida es inevitable, ser derrotado es opcional.|Roger Crawford
La curación no significa que el daño nunca existió. Significa que el daño ya no controla nuestras vidas.|Anónimo
El perdón es la llave para la acción y la libertad.|Hannah Arendt
No podemos cambiar las cartas que se nos reparten, solo cómo jugamos la mano.|Randy Pausch
Tu situación actual no es tu destino final.|Anónimo
La resiliencia es aceptar tu nueva realidad, incluso si es menos buena que la que tenías antes.|Elizabeth Edwards
Empieza donde estás. Usa lo que tienes. Haz lo que puedes.|Arthur Ashe
La autodisciplina es el poder de decir 'no' a tus impulsos destructivos.|Anónimo
El único viaje imposible es el que nunca empiezas.|Tony Robbins
Sé más fuerte que tu excusa más fuerte.|Anónimo
No se trata de la perfección. Se trata del esfuerzo.|Jillian Michaels
Cuando dudes, elige el camino de la disciplina.|Anónimo
La recuperación es un regalo que te das a ti mismo todos los días.|Anónimo
La verdadera fuerza es mantenerse firme cuando todos esperan que te desmorones.|Anónimo
No dejes que lo que no puedes hacer interfiera con lo que puedes hacer.|John Wooden
El sol siempre vuelve a brillar después de la tormenta.|Proverbio
Tu mejor maestro es tu último error.|Ralph Nader
Cada recuperación de una adicción comienza con la esperanza.|Anónimo
La paciencia y la perseverancia tienen un efecto mágico ante el cual las dificultades desaparecen.|John Quincy Adams
El coraje es la resistencia al miedo, el dominio del miedo, no la ausencia de miedo.|Mark Twain
No importa cuántas veces hayas fallado. Solo necesitas tener razón una vez.|Mark Cuban
Si quieres volar, tienes que renunciar a las cosas que te pesan.|Toni Morrison
La recuperación no es un evento aislado. Es un estilo de vida.|Anónimo
El carácter es la capacidad de llevar a cabo una buena resolución mucho después de que la emoción del momento haya pasado.|Cavett Robert
La serenidad no es estar libre de la tormenta, sino estar en paz dentro de la tormenta.|Anónimo
La recuperación es el acto de reclamar tu vida.|Anónimo
La victoria es más dulce cuando has conocido la derrota.|Malcolm S. Forbes
La vida es como andar en bicicleta. Para mantener el equilibrio, debes seguir moviéndote.|Albert Einstein
El progreso, no la perfección, es lo que buscamos.|Lema de recuperación
El primer deber del hombre es conquistarse a sí mismo.|Anónimo
Una mente negativa nunca te dará una vida positiva.|Anónimo
No dejes que la vergüenza te impida pedir ayuda.|Anónimo
La recuperación te enseña a vivir en el presente.|Anónimo
La adicción te dice que no puedes. La recuperación te dice que sí puedes.|Anónimo
El valor real es cuando sabes que estás vencido, pero sigues adelante de todos modos.|James E. Faust
La única diferencia entre un buen día y un mal día es tu actitud.|Dennis S. Brown
La curación es un arte. Lleva tiempo, lleva práctica, lleva amor.|M.D.
No eres la oscuridad por la que has pasado. Eres la luz que ha sobrevivido.|Anónimo
El que tiene un porqué para vivir puede soportar casi cualquier cómo.|Friedrich Nietzsche
"La rendición no es debilidad; es el comienzo de la recuperación.|Anónimo"
Tu adicción no te define. Tu recuperación sí.|Anónimo
El mayor placer de la vida es hacer lo que la gente dice que no puedes hacer.|Walter Bagehot
La recuperación es un acto de rebelión contra la adicción.|Anónimo
La sobriedad es la nueva felicidad.|Anónimo
Cada día sobrio es una victoria.|Anónimo
No te rindas. El principio es siempre lo más difícil.|Anónimo
Conviértete en la persona que necesitabas cuando estabas sufriendo.|Anónimo
El futuro tiene muchos nombres. Para los débiles, es lo inalcanzable. Para los temerosos, lo desconocido. Para los valientes, es la oportunidad.|Victor Hugo
La disciplina es simplemente elegir entre lo que quieres ahora y lo que más quieres.|Anónimo
Estás a una decisión de distancia de una vida completamente diferente.|Anónimo
No dejes que tu lucha se convierta en tu identidad.|Anónimo
La recuperación es el proceso de volver a ser tú mismo.|Anónimo
El secreto del cambio es enfocar toda tu energía, no en luchar contra lo viejo, sino en construir lo nuevo.|Sócrates (popularizado por Dan Millman)
